questionnaire_id,questionnair_number,label,value,sort,next_questionnaire_number,back_questionnaire_number
1,0,同意説明文書を読んで、内容を理解しました。,1,1,1,0
1,0,本研究への参加に同意する,2,2,1,0
1,0,同意しない,3,3,1001,0
1,1,アンケートの回答に進む,1,1,2,1
1,1,アンケートの回答をやめる,2,2,1001,1
1,2,チラシ以外から本アンケートにアクセスした/チラシはもらっていない,1,1,3,2
1,2,2,2,2,3,2
1,2,3,3,3,3,2
1,2,4,4,4,3,2
1,2,5,5,5,3,2
1,2,6,6,6,3,2
1,2,7,7,7,3,2
1,2,8,8,8,3,2
1,2,9,9,9,3,2
1,2,10,10,10,3,2
1,2,11,11,11,3,2
1,2,12,12,12,3,2
1,2,13,13,13,3,2
1,2,14,14,14,3,2
1,2,15,15,15,3,2
1,2,16,16,16,3,2
1,2,17,17,17,3,2
1,2,18,18,18,3,2
1,2,19,19,19,3,2
1,2,20,20,20,3,2
1,2,21,21,21,3,2
1,2,22,22,22,3,2
1,3,いいえ（ご自身、ご家族が勤めていない） ,1,1,4,3
1,3,はい（ご自身、ご家族が勤めている）,2,2,1001,3
1,4,はい,1,1,5,4
1,4,いいえ,2,2,1001,4
1,5,男性,1,1,6,5
1,5,女性,2,2,6,5
1,6,17歳以下,1,1,1001,6
1,6,18歳,2,2,7,6
1,6,19歳,3,3,7,6
1,6,20歳,4,4,7,6
1,6,21歳,5,5,7,6
1,6,22歳,6,6,7,6
1,6,23歳,7,7,7,6
1,6,24歳,8,8,7,6
1,6,25歳,9,9,7,6
1,6,26歳,10,10,7,6
1,6,27歳,11,11,7,6
1,6,28歳,12,12,7,6
1,6,29歳,13,13,7,6
1,6,30歳,14,14,7,6
1,6,31歳,15,15,7,6
1,6,32歳,16,16,7,6
1,6,33歳,17,17,7,6
1,6,34歳,18,18,7,6
1,6,35歳,19,19,7,6
1,6,36歳,20,20,7,6
1,6,37歳,21,21,7,6
1,6,38歳,22,22,7,6
1,6,39歳,23,23,7,6
1,6,40歳,24,24,7,6
1,6,41歳,25,25,7,6
1,6,42歳,26,26,7,6
1,6,43歳,27,27,7,6
1,6,44歳,28,28,7,6
1,6,45歳,29,29,7,6
1,6,46歳,30,30,7,6
1,6,47歳,31,31,7,6
1,6,48歳,32,32,7,6
1,6,49歳,33,33,7,6
1,6,50歳,34,34,7,6
1,6,51歳,35,35,7,6
1,6,52歳,36,36,7,6
1,6,53歳,37,37,7,6
1,6,54歳,38,38,7,6
1,6,55歳,39,39,7,6
1,6,56歳,40,40,7,6
1,6,57歳,41,41,7,6
1,6,58歳,42,42,7,6
1,6,59歳,43,43,7,6
1,6,60歳,44,44,7,6
1,6,61歳,45,45,7,6
1,6,62歳,46,46,7,6
1,6,63歳,47,47,7,6
1,6,64歳,48,48,7,6
1,6,65歳,49,49,7,6
1,6,66歳,50,50,7,6
1,6,67歳,51,51,7,6
1,6,68歳,52,52,7,6
1,6,69歳,53,53,7,6
1,6,70歳,54,54,7,6
1,6,71歳,55,55,7,6
1,6,72歳,56,56,7,6
1,6,73歳,57,57,7,6
1,6,74歳,58,58,7,6
1,6,75歳,59,59,7,6
1,6,76歳,60,60,7,6
1,6,77歳,61,61,7,6
1,6,78歳,62,62,7,6
1,6,79歳,63,63,7,6
1,6,80歳,64,64,7,6
1,6,81歳,65,65,7,6
1,6,82歳,66,66,7,6
1,6,83歳,67,67,7,6
1,6,84歳,68,68,7,6
1,6,85歳,69,69,7,6
1,6,86歳,70,70,7,6
1,6,87歳,71,71,7,6
1,6,88歳,72,72,7,6
1,6,89歳,73,73,7,6
1,6,90歳,74,74,7,6
1,6,91歳,75,75,7,6
1,6,92歳,76,76,7,6
1,6,93歳,77,77,7,6
1,6,94歳,78,78,7,6
1,6,95歳,79,79,7,6
1,6,96歳,80,80,7,6
1,6,97歳,81,81,7,6
1,6,98歳,82,82,7,6
1,6,99歳,83,83,7,6
1,6,100歳,84,84,7,6
1,7,自身が診断を受けている,1,1,8,7
1,7,自身が診断を受けていない,2,2,1001,7
1,8,肝臓がん（肝細胞がん）,1,1,9,8
1,8,肺がん,2,2,1001,8
1,8,胃がん,3,3,1001,8
1,8,大腸がん（結腸がん・直腸がん）,4,4,1001,8
1,8,乳がん,5,5,1001,8
1,8,子宮頸がん,6,6,1001,8
1,8,卵巣がん,7,7,1001,8
1,8,前立腺がん,8,8,1001,8
1,8,頭頸部がん,9,9,1001,8
1,8,膵臓がん,10,10,1001,8
1,8,膀胱がん,11,11,1001,8
1,8,食道がん,12,12,1001,8
1,8,皮膚がん,13,13,1001,8
1,8,血液のがん（白血病・リンパ腫・骨髄腫等）,14,14,1001,8
1,8,その他,15,15,1001,8
1,9,初めから肝臓に発生したがん,1,1,10,9
1,9,その他がんから、肝臓にがん細胞が移動して、肝臓に発生したがん,2,2,1001,9
1,9,発生源はわからない,3,3,1001,9
1,10,1年未満,1,1,11,10
1,10,1年以上～2年未満,2,2,11,10
1,10,2年以上～3年未満,3,3,11,10
1,10,3年以上～4年未満,4,4,11,10
1,10,4年以上～5年未満,5,5,11,10
1,10,5年以上～10年未満,6,6,11,10
1,10,10年以上,7,7,11,10
1,10,わからない／覚えていない,8,8,11,10
1,11,現在行っている,1,1,12,11
1,11,以前行っていたが、現在は行っていない,2,2,12,11
1,11,これから開始する予定である,3,3,1001,11
1,11,わからない,4,4,1001,11
1,12,肝動脈化学塞栓療法（TACE）,1,1,13,12
1,12,肝切除（手術）,2,2,1001,12
1,12,穿刺局所療法(ラジオ波焼灼療法(RFA)、経皮的エタノール注入(PEI)、経皮的マイクロ波凝固療法(PMCT)など),3,3,1001,12
1,12,肝動注化学療法（TAI、HAIC）,4,4,1001,12
1,12,肝動脈塞栓療法（TAE）,5,5,1001,12
