id,questionnaire_id,questionnaire_number,type,min,max,max_length,question_text
1,1,0,1,2,2,,「肝細胞がんに対する肝動脈化学塞栓療法と薬物療法の併用における日本人患者および医師の治療選好：DCE調査研究」 版数：第●.● 版（患者用） 作成日：2022 年●月●日 ※承認後のICFの内容を表示
2,1,1,2,1,1,,調査概要を提示
3,1,2,3,1,1,,主治医の先生からチラシを受け取り、本アンケートにご回答いただいた方は、チラシの右上にある識別番号を選択してください。
4,1,3,2,1,1,,"あなたご自身または同居のご家族の方で、以下の業務にお勤めの方はいらっしゃいますか。
・医薬品業界
・医療分野
・市場調査"
5,1,4,2,1,1,,あなたの国籍は日本ですか。
6,1,5,2,1,1,,あなたの生物学的な性別をお教えください。
7,1,6,3,1,1,,あなたの年齢をお教えください。
8,1,7,2,1,1,,「がん」に関して、あなたのお立場にあてはまるものをお選びください。
9,1,8,1,1,15,,あなたが、今までに診断を受けたことがある、がんの種類をすべてお選びください。（いくつでも)
10,1,9,2,1,1,,前問でお答えいただいた【肝細胞がん】は、下記のうちどちらにあてはまりますか。
11,1,10,3,1,1,,【肝細胞がん】と初めて診断されてから何年になるかお教えください。
12,1,11,2,1,1,,現在、【肝細胞がん】に対して治療を行っていますか。
13,1,12,1,1,10,,"これまでに【肝細胞がん】に対する治療として行ったものをすべて教えてください。（いくつでも）
■*肝動脈化学塞栓療法（TACE／テイス）・・・抗がん剤と肝臓の血管を塞ぐ物質を注入する治療法です。
■肝切除（手術）・・・がんとその周囲の肝臓の組織を手術によって取り除く治療法です。
■穿刺（せんし）局所療法・・・腹部の皮膚の上から特殊な針をがんに直接刺して電気を流し、がんを焼く治療法です。

■*肝動注化学療法（TAI／ティーエーアイ、HAIC／ハイク）・・・抗がん剤のみを注入する治療法です。
■*肝動脈塞栓療法（TAE／ティーエーイー）・・・肝臓の血管を塞ぐ物質のみを注入する治療法です。

*鼠径部（足の付け根）や肘、手首などから肝臓の血管まで細いチューブを入れ、薬剤を注入する治療法です。注入する薬剤が異なります。"
14,1,13,3,1,1,,あなたが肝動脈化学塞栓療法（TACE）を最後に受けた年はいつですか。
15,1,14,3,1,1,,あなたが肝動脈化学塞栓療法（TACE）を最後に受けた月はいつですか。
16,1,15,1,1,5,,あなたが行った【肝細胞がん】の薬物治療は以下のいずれにあてはまりますか。（いくつでも）
17,1,16,2,1,1,,【肝細胞がん】と診断されてから再発はありましたか。
18,1,17,4,0,99,,"【肝細胞がん】と診断されてから再発した回数を教えてください。
※わからない・覚えていない方は「0」回とお答えください。"
19,1,18,2,1,1,,現在の肝細胞がんのがんの広がりを教えてください。
20,1,19,1,1,16,,肝細胞がんの治療で、副作用はありましたか。当てはまるものを全て教えてください。（いくつでも）
21,1,20,1,1,6,,あなたは肝細胞がんと診断される前に以下の肝臓の病気がありましたか。
22,1,21,2,1,1,,肝機能評価（チャイルド・ピュー）を教えてください。
23,1,22,2,1,1,,肝硬変の有無を教えてください。
24,1,23,2,1,1,,現在、どの程度の頻度で通院されていますか。
25,1,24,2,1,1,,"現在通院されている病院の所在地を教えてください。
都市部：東京23区、横浜市、大阪市、名古屋市、札幌市、福岡市、川崎市、神戸市、京都市、さいたま市、広島市、仙台市
その他：上記以外"
26,1,25,2,1,1,,現在通院されている病院を教えてください。
